#,Link,Text,Human Evaluation Text
1,https://minio.nl.samagra.io/assessment-images/ap_993156_12_42673539_20250507043255.jpg,"इस जाल पर मत चल। 
राधा कप ढख कर जा। 
शेर शिला पर चढ़ गया। 
भेद भाव मत किया करो।","इस जाल पर मत चल। 
राधा काप ढक कर जा। 
शेर शिल पर चढ़ गया।  
भेद भाव मत किया करो।"
2,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44449116_20250507043156.jpg,"जग भर कर रस बना।
अब गदा थाम वार कर।","जग भर कर रस बना।
अब गदा थम वार कर।"
3,https://minio.nl.samagra.io/assessment-images/ap_992995_12_42515254_20250507042758.jpg,"खग छत पर मर गया। 
राजा यह काम मत कर। 
अब सब खाना खाने चलो। 
वर-वधू को बुला देना।","खग छत पर मर गया। 
राजा यह काम मत कर। 
अब सब खाना खाने चलो। 
वर वधू को बुला देन।"
4,https://minio.nl.samagra.io/assessment-images/ap_992995_12_43215831_20250507042748.jpg,"चल अब चाय बन गई। 
नाव पर एक नाग था। 
राज ने एक चूहा पाला।
सोनू आजा अब ताश खेल।","चल अब चाय बन गई। 
नाव पर एक नाग था। 
राज ने एक चूह पला।
सूनू आज अब ताश खेल।"
5,https://minio.nl.samagra.io/assessment-images/ap_993156_12_42750095_20250507041725.jpg,"डर कर मत रहा कर। 
यह सब कब घटा था?
छाया दिन भर गाना गाती। 
चाक़ू को सिल पर घिस।","डर कर मत रहा कर। 
यह सब कब घर था?
छाया दिन भर गाना गाती। 
चाकू को सील पर घिस।"
6,https://minio.nl.samagra.io/assessment-images/ap_993156_12_42673532_20250507041719.jpg,"जग ढक कर रखा कर। 
राधा चल अब क्षमा कर। 
सखी साथ घाट पर चलो।
यह छाछ कुछ मीठी है।","जग ढक कर रखा कर।
राधा चल अब छम कर।  
सखी साथ घाट पर चलो।
यह छाछ कुछ मीटी है।"
7,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44488157_20250507041539.jpg,"राज अब सब सच कह।
दम लगा कर नाव चला।","राज अब सब सच कह।
दम लगा कर नाओ चला।"
8,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44492129_20250507041538.jpg,"छत पर धन मत रख।
एक शाख पर चार पात।","छत पर धन मात रख
एक सख पर चार पत।"
9,https://minio.nl.samagra.io/assessment-images/ap_992995_12_42550170_20250507041247.jpg,"अब दस मन दाल भर।
वह भाग कर घर आया। 
डाल से पक्षी उड़ गए।
वह फीका दूध पीता है।","अब दस मन दाल भर।
वह भाग कर घर आया। 
डाल से पक्षी उड़ गए।
वह फिका दूध पीता है।"
10,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44491373_20250507040037.jpg,"पथ पर बच कर चल।
यश एक पाठ याद कर।","पथ पर बाच कर चल।
इस एक पह इआद  कर।"
11,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44449094_20250507040036.jpg,"एक फल चख कर बता।
तट पर पान मत खाना ।","एक फल चख कर बता।
तट पर पान मत खाना"
12,https://minio.nl.samagra.io/assessment-images/ap_992995_12_42677901_20250507035745.jpg,"छत पर जय गान कर। 
घाव पर हाथ मत रख। 
उस बाल को फल देना। 
यश ने धागा तोड़ दिया।","छत पर जय गान कर। 
घाव पर हाथ मत रख। 
उस बाल को फल देना। 
यसा ने धगा तोड़ दिय"
13,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44536872_20250507034534.jpg,"अब यह रस मत चख।
वार मत कर बात कर।","अब यह रस मत चख।
वार मत कर बात कर।"
14,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44494950_20250507034533.jpg,"जय अब धन दान कर।
राज दस बार पाठ पढ़।","जय अब धन दान कर
राज दास बार पट पढ"
15,https://minio.nl.samagra.io/assessment-images/ap_992995_12_43241362_20250507034141.jpg,"हर शाम एक खत पढ़। 
यश का राज़ मत बता।
कल सब घर चले जाओ। 
आज मुझे धोखा मत देना।","हर साम एक खत पड़। 
यस  का राज मत बता।
कल सब घर चले जओ। 
आज मुझे धोखा मत देना।"
16,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44536871_20250507033032.jpg,"इस रथ पर नग लगा।
अब एक माला जाप कर।","इस रथ पर नद लगा।
अब एक माला जाप कर।"
17,https://minio.nl.samagra.io/assessment-images/ap_993176_12_44489381_20250507033031.jpg,"इस तट पर मत रह।
चल अब गाल साफ कर।","इस टड़ पर मत रहा है।
चल अब गाल साफ कर।"
18,https://minio.nl.samagra.io/assessment-images/ap_954527_11_41056542_20250429034120.jpg,"हर दम तन कर रह।
अब आग पर दाल बना।","हर दम तन कर रह
अब आग पर दाल बना"
19,https://minio.nl.samagra.io/assessment-images/ap_954527_11_41056542_20250429034120.jpg,"हर दम तन कर रह।
अब आग पर दाल बना।","हर दम तन कर रह।
अब आग पर दाल बना।"
20,https://minio.nl.samagra.io/assessment-images/ap_993784_11_37355262_20250502032300.jpg,"लव कप रख कर चल।
यश दाल दल कर लाया।
मेज़ पर तीन कप रख।
घर पर रात चोरी हुई।","लव कप रख कर चल।
यश दाल दल कर लाया।
मेज पर तीन कप रख।
घर पर रात चोरी हुई।"
21,https://minio.nl.samagra.io/assessment-images/ap_954526_11_40508448_20250429032448.jpg,"हर पल लड़ा मत कर।
उस तट पर नाव लाना।
मेज़ पर खत रख दो।
राजू मीठा पान ले आया।","हर पल लड़ा मत कर।
उस तट पर नाव लाना।
मेज  पर खत रख दो।
राजू मीठा पान ले आया।"
22,https://minio.nl.samagra.io/assessment-images/ap_954526_11_40508448_20250429032414.jpg,"हर पल लड़ा मत कर।
उस तट पर नाव लाना।
मेज़ पर खत रख दो।
राजू मीठा पान ले आया।","हर पल लड़ा मत कर।
उस तट पर नाव लाना।
मेज पर खत रख दो।
राजू मीठा पान ले आया।"
23,https://minio.nl.samagra.io/assessment-images/ap_670365_11_41445297_20250427070821.jpg,"वह फल रख कर गया।
रात तक बस मत चला।
जप कर सब ठीक होगा।
तुम अब सीधी बात करो।","पह फल रथ कर गया।
राम तक बल मन चला।
जय कर सब ठीक होना।
तूम अप सीधा बत करो।"
24,https://minio.nl.samagra.io/assessment-images/ap_670365_11_37480083_20250427070813.jpg,"अब फल काट कर रख।
यह खाना पका कर रख।
राजा बाबू बन कर बैठ।
भावी राजा की शान देखो।","अब फल काट कर रख।
यह खाना पका कर रख।
राजा बाबू बन कर बैठ।
भावी राजा की शान देखो।"
25,https://minio.nl.samagra.io/assessment-images/ap_1200808_12_44489381_20250506115246.jpg,"भय मत कर सच कह।
हर साल नया काम कर।
चलो अब ताज़ा केला खाना।
तोते ने फल झूठा किया।","भय मत कर सच कह।
हर साल नया काम कर।
चलो अब ताज़ा केला खाना।
तोते ने फल झूठा किया।"